doc_id,gold,sft_lora_small_v2_pred,sft_lora_small_v2_correct,grpo_lora_small_pred,grpo_lora_small_correct,grpo_lora_small_format_reward_pred,grpo_lora_small_format_reward_correct,category
0,18,64,0,96,0,88,0,still_wrong
1,3,3,1,3,1,3,1,format_reward_correct
2,70000,70000,1,110000,0,110000,0,regressed_from_sft_v2
3,540,540,1,540,1,540,1,format_reward_correct
4,20,20,1,20,1,20,1,format_reward_correct
5,64,29,0,50,0,50,0,still_wrong
6,260,260,1,260,1,260,1,format_reward_correct
7,160,296,0,120,0,90,0,still_wrong
8,45,2,0,400,0,400,0,still_wrong
9,460,460,1,460,1,460,1,format_reward_correct
10,366,366,1,366,1,366,1,format_reward_correct
11,694,1588,0,8400,0,8400,0,still_wrong
12,13,63,0,9,0,9,0,still_wrong
13,18,36,0,17,0,24,0,still_wrong
14,60,60,1,60,1,60,1,format_reward_correct
15,125,2971,0,2971,0,2971,0,still_wrong
16,230,230,1,160,0,160,0,regressed_from_sft_v2
17,57500,57500,1,57500,1,57500,1,format_reward_correct
18,7,7,1,7,1,7,1,format_reward_correct
19,6,6,1,2,0,2,0,regressed_from_sft_v2
