doc_id,gold,sft_pred,sft_correct,grpo_384_pred,grpo_384_correct,category
0,18,64,0,64,0,both_wrong
1,3,3,1,3,1,both_correct
2,70000,70000,1,70000,1,both_correct
3,540,540,1,540,1,both_correct
4,20,20,1,20,1,both_correct
5,64,29,0,29,0,both_wrong
6,260,260,1,260,1,both_correct
7,160,296,0,296,0,both_wrong
8,45,2,0,2,0,both_wrong
9,460,460,1,460,1,both_correct
10,366,366,1,366,1,both_correct
11,694,1588,0,1588,0,both_wrong
12,13,63,0,033333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,both_wrong
13,18,36,0,36,0,both_wrong
14,60,60,1,60,1,both_correct
15,125,2971,0,2971,0,both_wrong
16,230,230,1,230,1,both_correct
17,57500,57500,1,57500,1,both_correct
18,7,7,1,7,1,both_correct
19,6,6,1,6,1,both_correct
